c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
1.66,0.271505,6.114067881,0.270248,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.68,0.27476,6.114427136,0.273504,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.7,0.278014,6.114799974,0.27676,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.72,0.281268,6.115164185,0.280016,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.74,0.284522,6.115520065,0.283272,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.76,0.287777,6.115846645,0.286528,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.78,0.291031,6.116186935,0.289784,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.8,0.294285,6.1165197,0.29304,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.82,0.297539,6.116845187,0.296296,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.84,0.300794,6.117143294,0.299552,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.86,0.304048,6.117455139,0.302808,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.88,0.307302,6.117760379,0.306064,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.9,0.310556,6.118059223,0.30932,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.92,0.31381,6.118351869,0.312576,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.94,0.317065,6.118619211,0.315832,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.96,0.320319,6.118900221,0.319088,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
1.98,0.323573,6.11917558,0.322344,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2,0.326827,6.119445456,0.3256,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.02,0.330081,6.119710011,0.328856,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.04,0.333336,6.11995104,0.332112,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.06,0.33659,6.120205591,0.335368,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.08,0.339844,6.120455268,0.338624,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.1,0.343098,6.120700208,0.34188,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.12,0.346352,6.120940546,0.345136,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.14,0.349606,6.12117641,0.348392,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.16,0.352861,6.121390576,0.351648,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
